Generation,Timestamp,AX,AY,AZ,lAX,lAY,lAZ,,Generation,Timestamp,Speed
1215,6:12:56,-0.1699935,1.6089526,10.182851,-0.80564946,-7.5804963,6.7918634,,,,
1216,6:12:56,0.18914771,1.8507744,9.177256,-0.54136604,-6.9532,5.089357,,74,6:14:04,1.727999961
1217,6:12:56,-0.31843856,0.76137936,11.942643,-0.7949902,-8.218344,8.128509,,,,
1218,6:12:56,-0.30646718,2.0494993,9.481328,-0.77968067,-6.8853636,5.567905,,75,6:14:05,0
1219,6:12:56,-0.24182175,1.0774237,10.436644,-0.53397316,-8.062903,5.9252677,,,,
1220,6:12:56,-0.19154198,1.9178141,9.90272,-0.73013604,-7.1659827,6.441594,,76,6:14:06,3.564000034
1221,6:12:56,-0.07901107,1.5203645,9.574705,-0.6072551,-7.490715,6.080653,,,,
1222,6:12:56,-0.031125572,0.85236186,10.879584,-0.5612525,-8.171176,7.1884108,,77,6:14:07,0
1223,6:12:56,-0.3040729,2.1644244,8.945011,-0.6891118,-6.8965235,5.0008335,,,,
1224,6:12:57,-0.52913475,1.2210802,10.692831,-0.8438389,-7.6906557,6.8934126,,78,6:14:08,4.535999966
1225,6:12:57,-0.10774237,1.8938714,9.265843,-0.5916676,-7.0796328,5.4788523,,,,
1226,6:12:57,-0.05027977,0.7685622,10.7048025,-0.6616574,-8.107855,6.749035,,79,6:14:09,6.732000017
1227,6:12:57,-0.21787901,1.2306572,9.768641,-0.8253833,-7.756707,5.87115,,,,
1228,6:12:57,-0.12450229,0.7134939,10.115811,-0.6059986,-8.314335,6.423846,,80,6:14:10,7.415999794
1229,6:12:57,-0.4644893,1.185166,8.526012,-0.8705411,-7.9194803,4.7203383,,,,
1230,6:12:57,-0.41181526,0.8547561,11.595473,-0.76067054,-8.210972,7.2447867,,81,6:14:11,11.23199959
1231,6:12:57,-0.3232271,1.3048798,8.777411,-0.8178321,-7.7559233,5.1463733,,,,
1232,6:12:57,-0.24421602,0.08858817,11.461393,-0.7324034,-8.623491,7.1438546,,82,6:14:12,11.91599979
1233,6:12:57,-0.7039168,1.4198049,9.684841,-1.0717491,-7.8295784,5.932717,,,,
1234,6:12:58,-0.44772938,0.91700727,9.826104,-0.88058776,-8.035258,5.5801187,,83,6:14:13,13.75199976
1235,6:12:58,-0.04070267,0.7589851,10.369604,-0.7576055,-8.246242,6.32299,,,,
1236,6:12:58,0.047885496,0.5506832,11.006481,-0.80352,-8.2498045,7.0355277,,84,6:14:14,13.32000017
1237,6:12:58,-0.076616794,1.0917894,9.464568,-0.94751155,-7.9906836,5.7009964,,,,
1238,6:12:58,0.16041641,1.063058,10.216371,-0.7684654,-7.916845,6.421031,,85,6:14:15,13.21200027
1239,6:12:58,-0.1987248,1.4245936,10.008069,-1.0585129,-7.7587404,6.466829,,,,
1240,6:12:58,0.14365649,1.3958622,9.330489,-0.8220283,-7.624175,5.5838256,,86,6:14:16,0
1241,6:12:58,0.12450229,1.3120626,10.343267,-0.7949573,-7.717964,6.604917,,,,
1242,6:12:58,0.062251143,1.7358493,9.450203,-0.96544945,-7.152794,5.6445327,,87,6:14:17,0.720000011
1243,6:12:58,0.11971374,1.4652961,10.242707,-0.812699,-7.635859,6.4570823,,,,
1244,6:12:59,0.38308397,1.7981004,8.976136,-0.7242826,-7.071749,5.339509,,88,6:14:18,15.22800007
1245,6:12:59,0.27294734,0.5913859,10.91071,-0.88795936,-8.183251,6.8117995,,,,
1246,6:12:59,-0.102953814,1.3168511,9.780613,-1.1526268,-7.7371383,5.8405995,,89,6:14:19,13.6079999
1247,6:12:59,0.11013664,1.9680939,9.852441,-0.75998086,-7.0047584,5.904849,,,,
1248,6:12:59,0.08140534,1.7238779,9.603436,-0.78707206,-7.216319,5.615696,,90,6:14:20,14.11200027
1249,6:12:59,0.09577099,0.7829279,11.140561,-0.78086174,-8.229498,7.014529,,,,
1250,6:12:59,-0.6656084,2.1189332,8.81572,-1.5940212,-7.0169854,5.2528267,,91,6:14:21,15.69600048
1251,6:12:59,-0.6464542,2.4445546,9.277815,-1.5281197,-6.40448,5.139212,,,,
1252,6:12:59,-0.76137936,1.1205206,11.236332,-1.6283119,-7.7399435,7.4997277,,92,6:14:22,14.94000034
1253,6:12:59,0.03351985,1.2306572,11.188446,-1.0142125,-7.488299,6.67954,,,,
1254,6:13:00,0.1699935,1.472479,10.05356,-0.96528226,-7.523459,6.668811,,93,6:14:23,15.44399986
1255,6:13:00,0.50998056,0.5411061,9.70639,-0.8268954,-8.059242,5.31956,,,,
1256,6:13:00,-0.083799616,1.3719195,9.119793,-1.2865144,-7.5096116,5.503563,,94,6:14:24,14.54399986
1257,6:13:00,-0.117319465,1.6041641,9.454991,-1.3058654,-7.137924,5.1279488,,,,
